iceciCode	Parent(s)	Title	baseExclusion	baseInclusion	relevantEntity
C.3.20.23.03	C.3.20.23	human drug: Antigonadatrophin, anti-oestrogen, antiandrogen preparation			
C.3.20.23.05	C.3.20.23	human drug: Spermicidal contraceptive			
C.3.20.23.08	C.3.20.23	human drug: Other specified preparation containing sex hormones			
C.3.20.23.15	C.3.20.23	human drug: Insulin or oral hypoglycaemic (antidiabetic) drug			
C.3.20.23.20	C.3.20.23	human drug: Corticosteroids			
C.3.20.23.25	C.3.20.23	human drug: Thyroid hormone or substitute			
C.3.20.23.26	C.3.20.23	human drug: Antithyroid drugs			
C.3.20.23.98	C.3.20.23	human drug: Other specified hormone, hormone antagonist, contraceptive			
C.3.20.23.99	C.3.20.23	human drug: Unspecified hormone, hormone antagonist, contraceptive			
C.3.20.24	C.3.20	-Street-/recreational drug			
C.3.20.24.01	C.3.20.24	recreational drug: amphetamine			
C.3.20.24.05	C.3.20.24	recreational drug: Cocaine, crack			
C.3.20.24.10	C.3.20.24	recreational drug: Ecstasy			
C.3.20.24.15	C.3.20.24	recreational drug: Heroin			
C.3.20.24.20	C.3.20.24	recreational drug: LSD			
C.3.20.24.25	C.3.20.24	recreational drug: Marijuana, hashish, dagga, ganja			
C.3.20.24.98	C.3.20.24	recreational drug: Other specified street/recreational drug			
C.3.20.24.99	C.3.20.24	recreational drug, unspecified			
C.3.20.98	C.3.20	Other specified pharmaceutical substance for human use			
C.3.20.98.01	C.3.20.98	human drug: Allopurinol			
C.3.20.98.05	C.3.20.98	human drug: L-dopa or related drug			
C.3.20.98.10	C.3.20.98	human drug: Diet aid			
C.3.20.98.18	C.3.20.98	human drug: Other general nutrient, dietary supplement			
C.3.20.98.20	C.3.20.98	human drug: Detoxifying agent, antidote			
C.3.20.98.25	C.3.20.98	human drug: Disulfram			
C.3.20.98.30	C.3.20.98	human drug: Ergot alkaloid			
C.3.20.98.35	C.3.20.98	human drug: Nicotine pharmaceutical			
C.3.20.98.98	C.3.20.98	Other specified pharmaceutical substance for human use			
C.3.20.99	C.3.20	Unspecified pharmaceutical substance for human use			
C.3.21	C.3	Other non-pharmaceutical chemical substance			
C.3.21.01	C.3.21	Glue or adhesive			
C.3.21.01.01	C.3.21.01	Contact glue			
C.3.21.01.05	C.3.21.01	Epoxies			
C.3.21.01.10	C.3.21.01	Cyanoacrylate glue (Super glue)			
C.3.21.01.98	C.3.21.01	Other specified glue or adhesive			
C.3.21.01.99	C.3.21.01	Unspecified glue or adhesive			
C.3.21.02	C.3.21	Fuel or solvent			
C.3.21.02.01	C.3.21.02	LPG gas, natural gas, methane gas, propane gas, butane gas			
C.3.21.02.05	C.3.21.02	Petrol, diesel, gasoline			
C.3.21.02.10	C.3.21.02	Lubricating oils, motor oil			
C.3.21.02.15	C.3.21.02	Methylated spirits			
C.3.21.02.20	C.3.21.02	Kerosene/paraffin			
C.3.21.02.25	C.3.21.02	Turpentine			
C.3.21.02.38	C.3.21.02	Alcohol NEC			
C.3.21.02.98	C.3.21.02	Other specified fuel or solvent			
C.3.21.02.99	C.3.21.02	Unspecified fuel or solvent			
C.3.21.03	C.3.21	Paint, coating or stripping agent			
C.3.21.03.01	C.3.21.03	Paint, varnish, stain			
C.3.21.03.05	C.3.21.03	Paint thinner, paint stripper			
C.3.21.03.10	C.3.21.03	Rust remover			
C.3.21.03.98	C.3.21.03	Other specified coating or stripping agent			
C.3.21.03.99	C.3.21.03	Unspecified coating or stripping agent			
C.3.21.04	C.3.21	Pet (veterinary) product, pesticide, herbicide	[C.3.19.98]		
C.3.21.04.01	C.3.21.04	Pet (veterinary) product			
C.3.21.04.05	C.3.21.04	Mouse, rat poison			
C.3.21.04.06	C.3.21.04	Moth repellent			
C.3.21.04.10	C.3.21.04	Organophosphate NEC			
C.3.21.04.15	C.3.21.04	Synthetic pyrethroids			
C.3.21.04.18	C.3.21.04	Other insecticide			
C.3.21.04.25	C.3.21.04	Fungicide			
C.3.21.04.30	C.3.21.04	Weed killer, herbicide			
C.3.21.04.98	C.3.21.04	Other specified pesticide, herbicide			
C.3.21.04.99	C.3.21.04	Unspecified pesticide, herbicide			
C.3.21.05	C.3.21	Cleaning agent			
C.3.21.05.01	C.3.21.05	Detergent for dishes or dishwasher, rinse aid			
C.3.21.05.05	C.3.21.05	Laundry detergent or additive, fabric softener, stain remover			
C.3.21.05.10	C.3.21.05	Dry cleaning agent NEC			
C.3.21.05.15	C.3.21.05	Bleach, soaking agent			
C.3.21.05.20	C.3.21.05	Chlorine			
C.3.21.05.25	C.3.21.05	Lye soap			
C.3.21.05.30	C.3.21.05	Disinfectants			
C.3.21.05.35	C.3.21.05	Drain cleaners			
C.3.21.05.98	C.3.21.05	Other specified cleaning agent			
C.3.21.05.99	C.3.21.05	Unspecified cleaning agent			
C.3.21.06	C.3.21	Reactant used in chemical industry process, industry manufacturing NEC			
C.3.21.98	C.3.21	Other specified non-pharmaceutical chemical substance			
C.3.21.98.01	C.3.21.98	Motor vehicle exhaust gas			
C.3.21.98.03	C.3.21.98	Other sources of carbon monoxide			
C.3.21.98.05	C.3.21.98	Carbon dioxide NEC			
C.3.21.98.15	C.3.21.98	Mercury			
C.3.21.98.20	C.3.21.98	Lead			
C.3.21.98.28	C.3.21.98	Heavy metal NEC	[C.3.21.98.15]		
C.3.21.98.30	C.3.21.98	Plant food or fertilizer, plant hormones			
C.3.21.98.40	C.3.21.98	Fabric dye			
C.3.21.98.50	C.3.21.98	Leather dye			
C.3.21.98.60	C.3.21.98	Food dye			
C.3.21.98.70	C.3.21.98	Photographic products			
C.3.21.98.80	C.3.21.98	Traditional medicine, folk remedy NEC			
C.3.21.98.98	C.3.21.98	Other specified non-pharmaceutical chemical substance			
C.3.21.99	C.3.21	Unspecified non-pharmaceutical chemical substance			
C.3.3	C.3	Watercraft or means of water transport			
C.3.3.01	C.3.3	Powered (motorised) watercraft or means of water transport			
C.3.3.01.01	C.3.3.01	Merchant ship, cargo ship, oil tanker			
C.3.3.01.05	C.3.3.01	Passenger ship, passenger liner, ocean liner			
C.3.3.01.10	C.3.3.01	Fishing boat, trawler			
C.3.3.01.15	C.3.3.01	Ferry used for short trips across closed waters (e.g. small lake minor rivers)			
C.3.3.01.20	C.3.3.01	Motorized yacht, motorboat, powered boat, personal powered watercraft			
C.3.3.01.30	C.3.3.01	Houseboat			
C.3.3.01.40	C.3.3.01	Hovercraft			
C.3.3.01.50	C.3.3.01	Airboat			
C.3.3.01.60	C.3.3.01	Submarine or related craft			
C.3.3.01.98	C.3.3.01	Other specified powered watercraft or means of water transport			
C.3.3.01.99	C.3.3.01	Unspecified powered watercraft or means of water transport			
C.3.3.02	C.3.3	Unpowered watercraft or means of water transport			
C.3.3.02.01	C.3.3.02	Sailboat, unpowered yacht			
C.3.3.02.05	C.3.3.02	Canoe, kayak, row boat, pirogue, piragua			
C.3.3.02.10	C.3.3.02	Wave board, surfboard, paddle ski			
C.3.3.02.15	C.3.3.02	Windsurfer			
C.3.3.02.98	C.3.3.02	Other specified unpowered watercraft or means of water transport			
C.3.3.02.99	C.3.3.02	Unspecified unpowered watercraft or means of water transport			
C.3.3.03	C.3.3	Part/component of watercraft (powered or unpowered)			
C.3.3.98	C.3.3	Other specified watercraft or means of water transport			
C.3.3.99	C.3.3	Watercraft, unspecified as powered or unpowered, or unspecified means of water transport			
C.3.4	C.3	Aircraft or means of air transport			
C.3.4.01	C.3.4	Powered aircraft or means of air transport			
C.3.4.01.01	C.3.4.01	Helicopter			
C.3.4.01.05	C.3.4.01	Airship, blimp			
C.3.4.01.10	C.3.4.01	Ultralight powered aircraft			
C.3.4.01.15	C.3.4.01	Private fixed-wing powered aircraft			
C.3.4.01.20	C.3.4.01	Commercial fixed-wing powered aircraft			
C.3.4.01.40	C.3.4.01	Military fixed-wing powered aircraft			
C.3.4.01.50	C.3.4.01	Spacecraft			
C.3.4.01.98	C.3.4.01	Other specified powered aircraft or means of air transport			
C.3.4.01.99	C.3.4.01	Unspecified powered aircraft or means of air transport			
C.3.4.02	C.3.4	Unpowered aircraft or means of air transport			
C.3.4.02.01	C.3.4.02	Passenger balloon, unpowered			
C.3.4.02.05	C.3.4.02	Parachute			
C.3.4.02.10	C.3.4.02	Hang-glider			
C.3.4.02.15	C.3.4.02	Glider			
C.3.4.02.98	C.3.4.02	Other specified unpowered aircraft or means of air transport			
C.3.4.02.99	C.3.4.02	Unspecified unpowered aircraft or means of air transport			
C.3.4.03	C.3.4	Part/component of aircraft (powered or unpowered)			
C.3.4.98	C.3.4	Other specified aircraft or means of air transport			
C.3.4.99	C.3.4	Unspecified aircraft or means of air transport			
C.3.40	C.3	Medical/surgical device			
C.3.40.01	C.3.40	General hospital or personal use device			
C.3.40.01.01	C.3.40.01	Hypodermic needle/syringe			
C.3.40.01.05	C.3.40.01	Glass thermometer with mercury			
C.3.40.01.08	C.3.40.01	Other type of thermometer			
C.3.40.01.10	C.3.40.01	Device, hoist for lifting patients			
C.3.40.01.98	C.3.40.01	Other specified general hospital or personal use device			
C.3.40.01.99	C.3.40.01	Unspecified general hospital or personal use device			
C.3.40.02	C.3.40	General or plastic surgery device			
C.3.40.03	C.3.40	Anaesthesiology device			
C.3.40.04	C.3.40	Cardiovascular device			
C.3.40.05	C.3.40	Ear/nose/throat device			
C.3.40.06	C.3.40	Gastroenterology device			
C.3.40.07	C.3.40	Neurological device			
C.3.40.08	C.3.40	Obstetric or gynaecological device			
C.3.40.09	C.3.40	Ophthalmic device			
C.3.40.10	C.3.40	Orthopaedic device			
C.3.40.11	C.3.40	Radiological device			
C.3.40.12	C.3.40	Physical medicine device			
C.3.40.98	C.3.40	Other specified medical/surgical device			
C.3.40.99	C.3.40	Unspecified medical/surgical device			
C.3.5	C.3	Furniture/furnishing			
C.3.5.01	C.3.5	Bed, bedding or bedding accessories			
C.3.5.01.01	C.3.5.01	furniture/furnishing: Bunk bed			
C.3.5.01.05	C.3.5.01	furniture/furnishing: Special bed, orthopaedic bed, or stretcher			
C.3.5.01.10	C.3.5.01	Hammock			
C.3.5.01.15	C.3.5.01	Mattress, sleeping mat			
C.3.5.01.20	C.3.5.01	Other specified bed			
C.3.5.01.25	C.3.5.01	Pillow, cushion			
C.3.5.01.30	C.3.5.01	Bedrails			
C.3.5.01.98	C.3.5.01	Other specified bedding or bedding accessories			
C.3.5.01.99	C.3.5.01	Unspecified bedding or bedding accessories			
C.3.5.02	C.3.5	Chair, sofa			
C.3.5.02.01	C.3.5.02	Upholstered chair, sofa, couch, lounge, divan			
C.3.5.02.05	C.3.5.02	Hard chair, couch, bench			
C.3.5.02.10	C.3.5.02	Rocking/gliding chair			
C.3.5.02.15	C.3.5.02	Folding chair			
C.3.5.02.20	C.3.5.02	Revolving chair			
C.3.5.02.25	C.3.5.02	Stool			
C.3.5.02.30	C.3.5.02	Commode chair			
C.3.5.02.98	C.3.5.02	Other specified chair, sofa			
C.3.5.02.99	C.3.5.02	Unspecified chair, sofa			
C.3.5.03	C.3.5	Table, stand, cupboard, shelf or partition			
C.3.5.03.01	C.3.5.03	Rack, bookshelf			
C.3.5.03.05	C.3.5.03	Cabinet, cupboard, side board, chest of drawers, tall boy, dresser			
C.3.5.03.10	C.3.5.03	Dining room/kitchen table, kitchen bench			
C.3.5.03.15	C.3.5.03	Coffee table			
C.3.5.03.20	C.3.5.03	Night table, end table			
C.3.5.03.25	C.3.5.03	Desk, workbench			
C.3.5.03.30	C.3.5.03	Television table, stand, cupboard			
C.3.5.03.35	C.3.5.03	Folding table			
C.3.5.03.40	C.3.5.03	Room divider or partition			
C.3.5.03.98	C.3.5.03	Other specified table, stand, cupboard, shelf or partition			
C.3.5.03.99	C.3.5.03	Unspecified table, stand, cupboard, shelf or partition			
C.3.5.04	C.3.5	Decoration, decorating item			
C.3.5.04.01	C.3.5.04	Rug, mat, loose carpet			
C.3.5.04.05	C.3.5.04	Draperies, curtains			
C.3.5.04.10	C.3.5.04	Roller/venetian blind or indoor shutter			
C.3.5.04.15	C.3.5.04	Window covering hardware			
C.3.5.04.20	C.3.5.04	Mirror or mirror glass			
C.3.5.04.25	C.3.5.04	Portrait, picture, picture frame, or other wall hanging or similar decoration			
C.3.5.04.35	C.3.5.04	Christmas tree			
C.3.5.04.40	C.3.5.04	Holiday decorations			
C.3.5.04.98	C.3.5.04	Other specified decoration, decorating item			
C.3.5.04.99	C.3.5.04	Unspecified decoration, decorating item			
C.3.5.98	C.3.5	Other specified furniture/furnishing			
C.3.5.99	C.3.5	Unspecified furniture/furnishing			
C.3.6	C.3	Infant or child product			
C.3.6.01	C.3.6	Baby or child article			
C.3.6.01.01	C.3.6.01	Baby pram, buggy, pusher, stroller, carriage			
C.3.6.01.05	C.3.6.01	Baby walker			
C.3.6.01.10	C.3.6.01	Baby exerciser, jumper, or portable swing (home use)			
C.3.6.01.15	C.3.6.01	High chair, booster seat			
C.3.6.01.20	C.3.6.01	Baby or child car seat			
C.3.6.01.25	C.3.6.01	Potty chair, training seat			
C.3.6.01.30	C.3.6.01	Cot, crib, baby bed			
C.3.6.01.45	C.3.6.01	Playpen, travel yard			
C.3.6.01.50	C.3.6.01	Baby gate or barrier			
C.3.6.01.55	C.3.6.01	Baby carrier (back pack type)			
C.3.6.01.60	C.3.6.01	Baby carrier (pedal cycle)			
C.3.6.01.65	C.3.6.01	Baby baths or bathinettes			
C.3.6.01.70	C.3.6.01	Baby or child changing table			
C.3.6.01.75	C.3.6.01	Baby or child pacifier, dummy			
C.3.6.01.80	C.3.6.01	Baby bottle or nipple			
C.3.6.01.85	C.3.6.01	Diaper, nappy			
C.3.6.01.90	C.3.6.01	Diaper fastener			
C.3.6.01.98	C.3.6.01	Other specified baby or child article			
C.3.6.01.99	C.3.6.01	Unspecified baby or child article			
C.3.6.02	C.3.6	Toy			
C.3.6.02.01	C.3.6.02	Tricycle (child's) or other ride-on toy			
C.3.6.02.05	C.3.6.02	Toy vehicle			
C.3.6.02.10	C.3.6.02	Toy gun or related accessory			
C.3.6.02.18	C.3.6.02	Other toy weapon or projectile toy			
C.3.6.02.20	C.3.6.02	Toy - art, craft, or kit			
C.3.6.02.25	C.3.6.02	Board game or accessory/piece			
C.3.6.02.30	C.3.6.02	Toy sports equipment			
C.3.6.02.45	C.3.6.02	Ball, general, other than sport specific			
C.3.6.02.50	C.3.6.02	infant or child product: Flying toy			
C.3.6.02.55	C.3.6.02	infant or child product: Doll, doll accessory or part, stuffed toy			
C.3.6.02.60	C.3.6.02	infant or child product: Balloon (toy)			
C.3.6.02.65	C.3.6.02	infant or child product: Other inflatable toy			
C.3.6.02.70	C.3.6.02	infant or child product: Marble, bead			
C.3.6.02.75	C.3.6.02	infant or child product: Play tent, tunnel, or other enclosure			
C.3.6.02.80	C.3.6.02	infant or child product: Toy box or chest			
C.3.6.02.98	C.3.6.02	infant or child product: Other specified toy			
C.3.6.02.99	C.3.6.02	infant or child product: Unspecified toy			
C.3.6.03	C.3.6	Playground equipment			
C.3.6.03.01	C.3.6.03	Tree house, play house			
C.3.6.03.05	C.3.6.03	playground equipment: Flying fox			
C.3.6.03.10	C.3.6.03	playground equipment: Monkey bar			
C.3.6.03.18	C.3.6.03	Other playground climbing apparatus			
C.3.6.03.20	C.3.6.03	playground equipment: Slide, sliding board			
C.3.6.03.25	C.3.6.03	playground equipment: Swing, swing set			
C.3.6.03.30	C.3.6.03	playground equipment: Seesaw, teeter totter			
C.3.6.03.45	C.3.6.03	infant or child product: Powered amusement rides			
C.3.6.03.98	C.3.6.03	infant or child product: Other specified playground equipment			
C.3.6.03.99	C.3.6.03	infant or child product: Unspecified playground equipment			
C.3.6.98	C.3.6	Other specified infant or child product			
C.3.6.99	C.3.6	Unspecified infant or child product			
C.3.7	C.3	Appliance mainly used in household			
C.3.7.01	C.3.7	Cooking or kitchen appliance			
C.3.7.01.01	C.3.7.01	Electric kettle			
C.3.7.01.05	C.3.7.01	Electric frying pan, deep fryer			
C.3.7.01.10	C.3.7.01	Electric bread making machine			
C.3.7.01.15	C.3.7.01	Food processor, blender, juicer			
C.3.7.01.20	C.3.7.01	Powered knife			
C.3.7.01.25	C.3.7.01	Electric toaster, toaster oven			
C.3.7.01.26	C.3.7.01	Microwave oven			
C.3.7.01.30	C.3.7.01	Other electric cooking or food processing appliance			
C.3.7.01.45	C.3.7.01	Stove, oven, cooktop			
C.3.7.01.55	C.3.7.01	Pressurized kerosene/paraffin cooking stove			
C.3.7.01.56	C.3.7.01	Other type of kerosene/paraffin cooking stove			
C.3.7.01.60	C.3.7.01	Coal pot			
C.3.7.01.61	C.3.7.01	Chulo stove			
C.3.7.01.65	C.3.7.01	Barbeque, outdoor cookers/griller, outdoor clay oven			
C.3.7.01.70	C.3.7.01	Dishwasher			
C.3.7.01.75	C.3.7.01	Refrigerator, freezer			
C.3.7.01.98	C.3.7.01	Other specified cooking or kitchen appliance			
C.3.7.01.99	C.3.7.01	Unspecified cooking or kitchen appliance			
C.3.7.02	C.3.7	Cleaning or laundering appliance or tool			
C.3.7.02.01	C.3.7.02	Washing machine			
C.3.7.02.05	C.3.7.02	Other specified clothes cleaning appliance			
C.3.7.02.10	C.3.7.02	Clothes dryer			
C.3.7.02.15	C.3.7.02	Clothes iron, press			
C.3.7.02.16	C.3.7.02	Clothesline, clothes drying rack, clotheshorse			
C.3.7.02.20	C.3.7.02	Cleaning tool (unpowered)			
C.3.7.02.25	C.3.7.02	Vacuum cleaner			
C.3.7.02.30	C.3.7.02	Powered cleaning tool NEC			
C.3.7.02.98	C.3.7.02	Other specified cleaning or laundering appliance or tool			
C.3.7.02.99	C.3.7.02	Unspecified cleaning or laundering appliance or tool			
C.3.7.03	C.3.7	Lighting appliance			
C.3.7.03.01	C.3.7.03	Free-standing gas, oil, or kerosene lamp			
C.3.7.03.02	C.3.7.03	Electric lamp			
C.3.7.03.05	C.3.7.03	Other specified lamp or lamp component			
C.3.7.03.10	C.3.7.03	Battery-operated torch			
C.3.7.03.15	C.3.7.03	Candle, candlestick			
C.3.7.03.98	C.3.7.03	Other specified lighting appliance			
C.3.7.03.99	C.3.7.03	Unspecified lighting appliance			
C.3.7.04	C.3.7	Heating or cooling appliance			
C.3.7.04.01	C.3.7.04	Fan			
C.3.7.04.05	C.3.7.04	Electric or gas radiator, heater			
C.3.7.04.10	C.3.7.04	Kerosene heater			
C.3.7.04.98	C.3.7.04	Other specified heating or cooling appliance			
C.3.7.04.99	C.3.7.04	Unspecified heating or cooling appliance			
C.3.7.05	C.3.7	Sewing appliance or equipment			
C.3.7.05.01	C.3.7.05	Sewing machine			
C.3.7.05.05	C.3.7.05	Scissors			
C.3.7.05.10	C.3.7.05	Pin, needle			
C.3.7.05.98	C.3.7.05	Other specified sewing appliance or equipment			
C.3.7.05.99	C.3.7.05	Unspecified sewing appliance or equipment			
C.3.7.06	C.3.7	Entertainment appliance			
C.3.7.06.01	C.3.7.06	Television			
C.3.7.06.05	C.3.7.06	Video recorder, decoder player			
C.3.7.06.10	C.3.7.06	Video camera, camera, digital camera or accessory			
C.3.7.06.15	C.3.7.06	Sound equipment			
C.3.7.06.98	C.3.7.06	Other specified entertainment appliance			
C.3.7.06.99	C.3.7.06	Unspecified entertainment appliance			
C.3.7.98	C.3.7	Other specified household appliance			
C.3.7.98.01	C.3.7.98	Cord of household appliance, extension cord			
C.3.7.98.98	C.3.7.98	Other specified household appliance			
C.3.7.99	C.3.7	Unspecified household appliance			
C.3.8	C.3	Utensil or container			
C.3.8.01	C.3.8	Cooking or food processing utensil			
C.3.8.01.01	C.3.8.01	Non-electric kettle			
C.3.8.01.05	C.3.8.01	Knife NEC			
C.3.8.01.10	C.3.8.01	Cooking pot, pan			
C.3.8.01.15	C.3.8.01	Pressure cooker			
C.3.8.01.20	C.3.8.01	Cutlery, food preparation utensil			
C.3.8.01.98	C.3.8.01	Other specified cooking or food processing utensil			
C.3.8.01.99	C.3.8.01	Unspecified cooking or food processing utensil			
C.3.8.02	C.3.8	Crockery, kitchen container			
C.3.8.02.01	C.3.8.02	Drinking glass, cup made from glass or china, etc.			
C.3.8.02.05	C.3.8.02	Plate, bowl, dish made from glass or china, etc			
C.3.8.02.10	C.3.8.02	Glass bottle or jar			
C.3.8.02.15	C.3.8.02	Container made from plastic, wood, or clay			
C.3.8.02.98	C.3.8.02	Other specified crockery, kitchen container			
C.3.8.02.99	C.3.8.02	Unspecified crockery, kitchen container			
C.3.8.03	C.3.8	Cleaning utensil or container			
C.3.8.03.05	C.3.8.03	Bucket, pail			
C.3.8.03.98	C.3.8.03	Other specified cleaning utensil or container			
C.3.8.03.99	C.3.8.03	Unspecified cleaning utensil or container			
C.3.8.04	C.3.8	Food storage or related utensil or container			
C.3.8.04.01	C.3.8.04	Tinned container, tin can			
C.3.8.04.05	C.3.8.04	Box or carton containing food or drink			
C.3.8.04.10	C.3.8.04	Grocery or shopping trolley/cart			
C.3.8.04.98	C.3.8.04	Other specified food storage or related utensil or container			
C.3.8.04.99	C.3.8.04	Unspecified food storage or related utensil or container			
C.3.8.98	C.3.8	Other specified utensil or container			
C.3.8.98.01	C.3.8.98	Rubbish bin, trash can, dumpster			
C.3.8.98.08	C.3.8.98	Heavy container, box, package NEC			
C.3.8.98.18	C.3.8.98	Bag, sack NEC			
C.3.8.98.98	C.3.8.98	Other specified utensil or container			
C.3.8.99	C.3.8	Unspecified utensil or container			
C.3.9	C.3	Item mainly for personal use			
C.3.9.01	C.3.9	Clothes, foot wear, or related products			
C.3.9.01.01	C.3.9.01	Belt, braces, suspenders, sash			
C.3.9.01.05	C.3.9.01	Button			
C.3.9.01.10	C.3.9.01	Other specified clothes fastener			
C.3.9.01.15	C.3.9.01	Shoe, sandal, slipper, boot			
C.3.9.01.20	C.3.9.01	Shoelace, shoe buckle			
C.3.9.01.25	C.3.9.01	Shirt, blouse, t-shirt, trousers, slacks, jacket, coat, outerwear			
C.3.9.01.30	C.3.9.01	Nightclothes, pyjamas, nightwear, underwear, undergarment, lingerie			
C.3.9.01.98	C.3.9.01	Other specified clothes, foot wear, or related product			
C.3.9.01.99	C.3.9.01	Unspecified clothes, foot wear, or related product			
C.3.9.02	C.3.9	Clothing accessory or personal decoration item			
C.3.9.02.01	C.3.9.02	Wristwatch, jewellery			
C.3.9.02.98	C.3.9.02	Other specified clothing accessory or personal decorative item			
C.3.9.02.99	C.3.9.02	Unspecified clothing accessory or personal decorative item			
C.3.9.03	C.3.9	Personal grooming utensil			
C.3.9.03.01	C.3.9.03	Hair dryer, curling iron, curler			
C.3.9.03.05	C.3.9.03	Comb, hairbrush			
C.3.9.03.10	C.3.9.03	Razor, razor blade			
C.3.9.03.15	C.3.9.03	Electric shaver			
C.3.9.03.20	C.3.9.03	Electric toothbrush			
C.3.9.03.28	C.3.9.03	Other toothbrush			
C.3.9.03.98	C.3.9.03	Other specified personal grooming utensil			
C.3.9.03.99	C.3.9.03	Unspecified personal grooming utensil			
C.3.9.04	C.3.9	Toiletries, cosmetics, or related product			
C.3.9.04.01	C.3.9.04	Cleaning agent for contact lenses			
C.3.9.04.05	C.3.9.04	Dental care products			
C.3.9.04.10	C.3.9.04	Cotton swab, cotton bud, Q-Tip?			
C.3.9.04.15	C.3.9.04	Soap			
C.3.9.04.20	C.3.9.04	Deodorants			
C.3.9.04.25	C.3.9.04	Perfume, cologne			
C.3.9.04.35	C.3.9.04	Hair colouring preparation			
C.3.9.04.40	C.3.9.04	Hair removal preparation, depilatory			
C.3.9.04.43	C.3.9.04	Other hair care product			
C.3.9.04.45	C.3.9.04	Nail polish or nail polish remover			
C.3.9.04.50	C.3.9.04	Body or facial cream/lotion			
C.3.9.04.55	C.3.9.04	Body powder, talc			
C.3.9.04.60	C.3.9.04	Cosmetics NEC			
C.3.9.04.65	C.3.9.04	Suntan or sunscreen products, self-tan products			
C.3.9.04.70	C.3.9.04	Essential oils, oils used in aromatherapy			
C.3.9.04.98	C.3.9.04	Other specified toiletries or related product			
C.3.9.04.99	C.3.9.04	Unspecified toiletries or related product			
C.3.9.05	C.3.9	Communication or related utensil or accessory			
C.3.9.05.01	C.3.9.05	Telephone, mobile phone, cellular phone			
C.3.9.05.05	C.3.9.05	Personal computer or related accessory			
C.3.9.05.10	C.3.9.05	Fax machine and other related equipment			
C.3.9.05.11	C.3.9.05	Typewriter correction fluid			
C.3.9.05.15	C.3.9.05	Pen, pencil			
C.3.9.05.20	C.3.9.05	Other stationery item			
C.3.9.05.98	C.3.9.05	Other specified communication or related utensil or accessory			
C.3.9.05.99	C.3.9.05	Unspecified communication or related utensil or accessory			
C.3.9.06	C.3.9	Arts and crafts supplies			
C.3.9.06.01	C.3.9.06	Artist paint			
C.3.9.06.05	C.3.9.06	Chalk, crayon			
C.3.9.06.10	C.3.9.06	Glazes			
C.3.9.06.15	C.3.9.06	Canvas			
C.3.9.06.98	C.3.9.06	Other specified arts and crafts supplies			
C.3.9.06.99	C.3.9.06	Unspecified arts and crafts supplies			
C.3.9.07	C.3.9	Personal aid			
C.3.9.07.01	C.3.9.07	Eyewear			
C.3.9.07.05	C.3.9.07	Wheelchair			
C.3.9.07.10	C.3.9.07	Cane, walker, walking stick, walking frame			
C.3.9.07.15	C.3.9.07	Prosthesis			
C.3.9.07.20	C.3.9.07	Rubber bathtub mat			
C.3.9.07.98	C.3.9.07	Other specified personal aid			
C.3.9.07.99	C.3.9.07	personal aid: Unspecified personal aid			
C.3.9.08	C.3.9	Tobacco or related product			
C.3.9.08.01	C.3.9.08	Cigarette, cigar, pipe			
C.3.9.08.05	C.3.9.08	Lighter, match			
C.3.9.08.10	C.3.9.08	Aids to quit smoking			
C.3.9.08.98	C.3.9.08	Other specified tobacco or related product			
C.3.9.08.99	C.3.9.08	Unspecified tobacco or related product			
C.3.9.98	C.3.9	Other specified personal use item			
C.3.9.98.01	C.3.9.98	Vaporizer, humidifier			
C.3.9.98.05	C.3.9.98	Oil burner			
C.3.9.98.10	C.3.9.98	Condom, or other contraceptive device			
C.3.9.98.15	C.3.9.98	Sex aids			
C.3.9.98.20	C.3.9.98	Alarm clock, clock	[C.3.5.98]		
C.3.9.98.25	C.3.9.98	Umbrella			
C.3.9.98.30	C.3.9.98	Coins			
C.3.9.98.40	C.3.9.98	Hand-held fan			
C.3.9.98.98	C.3.9.98	Other specified personal use item			
C.3.9.99	C.3.9	Unspecified personal use item			
C.3.98	C.3	Other specified object/substance			
C.3.98.01	C.3.98	Law enforcement equipment	[C.3.12]		
C.3.98.01.01	C.3.98.01	Handcuffs			
C.3.98.01.98	C.3.98.01	Other specified law enforcement equipment			
C.3.98.01.99	C.3.98.01	Unspecified law enforcement equipment			
C.3.98.02	C.3.98	Public use item			
C.3.98.02.01	C.3.98.02	Fire hydrant			
C.3.98.02.05	C.3.98.02	Telephone pole, Stobie pole			
C.3.98.02.10	C.3.98.02	High-tension overhead power line			
C.3.98.02.98	C.3.98.02	Other specified public use item			
C.3.98.02.99	C.3.98.02	Unspecified public use item			
C.3.98.03	C.3.98	Camping equipment			
C.3.98.03.01	C.3.98.03	Tent			
C.3.98.03.98	C.3.98.03	Other specified camping equipment			
C.3.98.03.99	C.3.98.03	Unspecified camping equipment			
C.3.98.04	C.3.98	Fastening, binding, or securing item NEC			
C.3.98.04.01	C.3.98.04	Rope, string, or twine			
C.3.98.04.05	C.3.98.04	Barbed wire			
C.3.98.04.08	C.3.98.04	Other wire			
C.3.98.04.10	C.3.98.04	Chain			
C.3.98.04.98	C.3.98.04	Other specified fastening, binding, or securing item			
C.3.98.04.99	C.3.98.04	Unspecified fastening, binding, or securing item			
C.3.98.05	C.3.98	Explosive material or flammable object/substance NEC			
C.3.98.05.01	C.3.98.05	Fireworks			
C.3.98.05.05	C.3.98.05	Explosive			
