ORPHA|ORPHANAME|CONCEPTID|TITLE|SHORT DEFINITION
2103|Guillain-BarrÈ syndrome|http://who.int/icd#G61.0|Acute inflammatory demyelinating polyneuropathy|"Guillain-Barré syndrome (GBS) is the term used to describe a spectrum of rare post-infectious neuropathies that usually occur in otherwise healthy patients. GBS is clinically heterogeneous and encompasses acute inflammatory demyelinating polyradiculoneuropathy (AIDP), acute motor axonal neuropathy (AMAN) and acute motor-sensory axonal neuropathy (AMSAN), Miller-Fisher syndrome (MFS) and some other regional variants."
2108|Hallermann-Streiff-FranÁois syndrome|http://who.int/icd#948_712a6f06_71f2_48d0_919c_2b3cb8b7172d|Hallermann-Streiff-François syndrome|"Hallermann-Streiff-François syndrome is a premature ageing syndrome marked by a characteristic facies with hypoplastic mandible and beaked nose, proportionate short stature, hypotrichosis, microphthalmia with congenital cataract, hypodontia, hypotrichosis, skin atrophy of the face and hypoplasia of the clavicles and ribs. About 15% of cases display intellectual deficit. Neonatal teeth may be present. "
2111|Cystic hamartoma of lung and kidney|http://who.int/icd#5775_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Cystic hamartoma of lung and kidney|"Cystic hamartoma of lung and kidney, attributed to abnormal morphogenesis, is characterised by a combination of non-malignant cystic malformations of the lung and kidney. Patients present during infancy with abdominal masses and hypertension."
2114|"Hip dysplasia, Beukes type"|http://who.int/icd#9196_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Beukes familial hip dysplasia|Beukes familial hip dysplasia (BFHD) is an inherited skeletal disorder characterized by premature degenerative osteoarthropathy of the hip joint.
2116|Hartnup syndrome|http://who.int/icd#5951_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Hartnup syndrome|"Hartnup syndrome is a rare metabolic disorder belonging to the neutral aminoacidurias and characterized by abnormal renal and gastrointestinal transport of neutral amino acids (tryptophan, alanine, asparagine, glutamine, histidine, isoleucine, leucine, phenylalanine, serine, threonine, tyrosine and valine). It can be asymptomatic or  present with skin photosensitivity, neurological or  psychiatric symptoms."
2118|Hawkinsinuria|http://who.int/icd#649_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Hawkinsinuria|"Hawkinsinuria is an inborn error of tyrosine metabolism characterized by failure to thrive, persistent metabolic acidosis, fine and sparse hair, and excretion of the unusual cyclic amino acid metabolite, hawkinsin ((2-l-cystein-S-yl, 4-dihydroxycyclohex-5-en-1-yl)acetic acid), in the urine. "
2122|Kaposiform hemangioendothelioma|http://who.int/icd#10802_07368d94_d861_421b_b2a0_264c49b96108|Kaposiform haemangioendothelioma|Kaposiform haemangioendothelioma is a rare low-grade malignant cutaneous or visceral vascular tumour that may be associated with severe thrombopaenia with consumption coagulopathy (Kasabach-Merritt syndrome) in paediatric patients. 
2123|Diffuse neonatal hemangiomatosis|http://who.int/icd#10725_07368d94_d861_421b_b2a0_264c49b96108|Diffuse neonatal haemangiomatosis|"Diffuse neonatal hemangiomatosis is a rare vascular tumor from unknown origin characterized by multiple, progressive, rapidly growing cutaneous hemangiomas (e.g. in the scalp, face, trunk and extremities) associated with widespread visceral hemangiomas in the liver, lungs, gastrointestinal tract, brain, and meninges."
2126|Haemangiopericytoma|http://who.int/icd#8760_ce88e999_ba9e_41b4_8d8a_b63046b652da|Hemangiopericytoma|Hemangiopericytomas are malignant vascular tumors arising from mesenchymal cells with pericytic differentiation. HPC immumnohistochemical profile is uncertain and diagnosis is usually controversial. 
2131|Alternating hemiplegia of childhood|http://who.int/icd#20190_588c79f3_df65_43e0_903d_add110bf20de|Alternating hemiplegia of childhood|Alternating hemiplegia of childhood (AHC) is a rare neurodevelopmental disorder characterized by recurrent episodes of hemiplegia and paroxysmal disturbances associated with persistent developmental delay and cognitive impairment. 
2132|Hemoglobin C disease|http://who.int/icd#6721_e9c55f4e_825c_45d7_ba2c_0fdc673d688a|Recessive hereditary methaemoglobinaemia type 2|"Hemoglobin C disease is characterised by the synthesis of an abnormal hemoglobin called hemoglobin C (HbC), instead of the normal hemoglobin A (HbA). Subjects heterozygous for HbC (AC) are asymptomatic and may present with a mild microcytosis with an increased red blood cell resistance to hemolysis. Subjects homozygous for HbC (CC) have usually compensated hemolysis with splenomegaly. There is an increased risk of hypersplenism, biliary lithiasis, folate deficiency and worsening of anemia following Parvovirus B19 infection."
2133|Hemoglobin E disease|http://who.int/icd#6622_e9c55f4e_825c_45d7_ba2c_0fdc673d688a|Haemoglobin E disease|"Hemoglobin E disease is characterised by the synthesis of an abnormal hemoglobin called hemoglobin E (HbE), instead of the normal hemoglobin A (HbA). Subjects heterozygous for HbE (AE) have an asymptomatic condition with no clinical relevance, except for the risk of transmitting E/beta thalassemia if the other parent carries beta thalassemia. The severity of these E/beta thalassemia forms is very variable, the clinical picture ranging from that of beta thalassemia minor through to thalassemia intermedia to thalassemia major. Subjects homozygous for HbE (EE) are asymptomatic. "
2138|Ovotesticular disorder of sex development|http://who.int/icd#Q56.0|Ovotesticular disorder of sex development|"Ovotesticular disorder of sex development, formerly called true hermaphroditism, is a rare cause of genital ambiguity characterized by the presence of ovarian and testicular tissue in an individual, leading to development of both male and female structures. "
2140|Congenital diaphragmatic hernia|http://who.int/icd#Q40.1|Congenital hiatus hernia|"Congenital diaphragmatic hernia is an embryopathy which is defined by the absence of development of all or part of the diaphragmatic dome that results in the presence of abdominal viscera in the thorax, whit compression of the homolateral lung and impaired development of the controlateral lung."
2143|Donnai-Barrow syndrome|http://who.int/icd#11627_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Holmes-Schepens syndrome|"Donnai-Barrow syndrome is a malformation syndrome characterized by diaphragmatic hernia, exomphalos, hypertelorism, agenesis of the corpus callosum, severe sensorineural deafness, and severe myopia. "
2148|Lissencephaly type 1 due to doublecortin gene mutation|http://who.int/icd#6083_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Lissencephaly type 1 due to doublecortin gene mutation|"Type 1 lissencephaly due to doublecortin (DCX) gene mutations is a semi-dominant X-linked anomaly of neuronal migration characterised by intellectual deficiency and seizures that are more severe in male patients. In boys, there is pachygyria or agyria that results in swallowing and feeding difficulties, abnormal muscular tone, seizures and severe to profound psychomotor retardation. Female patients display a less severe malformation referred to as ''doublecortex'' or subcortical laminar heterotopia and present with clinical signs of variable severity ranging from mild epilepsy, beginning in childhood or adolescence with difficulties at school, to refractory epileptic seizures and severe intellectual deficiency. "
2152|Mowat-Wilson syndrome|http://who.int/icd#11506_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Mowat-Wilson syndrome|"Mowat-Wilson syndrome is a multiple congenital anomaly syndrome characterized by a distinct facial phenotype (high forehead, frontal bossing, large eyebrows, medially flaring and sparse in the middle part, hypertelorism, deep set but large eyes, large and uplifted ear lobes with a central depression, saddle nose with prominent rounded nasal tip, prominent columella, open mouth with M-shaped upper lip, frequent smiling, and a prominent but narrow and triangular pointed chin), moderate-to-severe intellectual deficiency, epilepsy and variable congenital malformations including Hirschsprung disease (HSCR), genitourinary anomalies (in particular hypospadias in males), congenital heart defects, agenesis of the corpus callosum and eye anomalies."
2155|Hirschsprung disease - deafness - polydactyly|http://who.int/icd#20526_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Hirschsprung disease - deafness - polydactyly|Hirschsprung disease-polydactyly-deafness syndrome is an extremely rare malformative association. The newborns also had unilateral renal agenesis and hypertelorism. 
2157|Histidinemia|http://who.int/icd#924_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Histidinaemia|"Histidinemia is a disorder of histidine metabolism caused by a defect in histidase, and seems to be benign in most affected individuals."
2176|Infantile systemic hyalinosis|http://who.int/icd#18931_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Infantile systemic hyalinosis|"Infantile systemic hyalinosis is a very rare disorder belonging to the heterogeneous group of genetic fibromatoses and is characterized by progressive joint contractures, skin abnormalities, severe chronic pain and widespread deposition of hyaline material in many tissues such as the skin, skeletal muscle, cardiac muscle, gastrointestinal tract, lymph nodes, spleen, thyroid, and adrenal glands."
2182|Hydrocephalus with stenosis of aqueduct of Sylvius|http://who.int/icd#Q03.0|Malformations of the aqueduct of Sylvius|"Hydrocephalus with stenosis of aqueduct of Sylvius (HSAS) or Bickers-Adams syndrome is characterised by the association of hydrocephaly, severe intellectual deficit, spasticity and adducted thumbs, and is part of the L1 syndrome (see this term). "
2202|Palmoplantar keratoderma - deafness|http://who.int/icd#20537_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Connexin palmoplantar keratoderma with sensorineural deafness|Palmoplantar keratoderma - deafness syndrome is characterised by the association of progressive perceptive hearing loss and non-epidermolytic palmoplantar keratoderma. 
2203|Hyperlysinemia|http://who.int/icd#1001_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Hyperlysinaemia|"Hyperlysinaemia is a lysine metabolism disorder characterised by elevated levels of lysine in the cerebrospinal fluid and blood that is not associated with a clinical phenotype, although it was sometimes believed to present with neurological problems and intellectual deficit. "
2206|Ankylosing vertebral hyperostosis with tylosis|http://who.int/icd#11066_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Ankylosing vertebral hyperostosis with tylosis|"This syndrome is characterized by the association of ankylosing vertebral hyperostosis with hyperkeratosis of the soles and palms. It has been described in at least eight patients, in four sibships spanning two generations of a Greek-Cypriot family. Six other members of the family presented with palmoplantar hyperkeratosis alone. This syndrome is likely to be transmitted as an autosomal dominant trait. It is distinct from diffuse idiopathic skeletal hyperostosis (DISH) which is not a rare disease."
2209|Maternal hyperphenylalaninemia|http://who.int/icd#594_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Maternal phenylketonuria|"Maternal phenylalaninemia refers to developmental anomalies that may occur in offspring of women affected by phenylketonuria (PKU), and include fetal development disorders, including microcephaly, intrauterine growth retardation, and subsequent intellectual deficit, and embryo development disorders such as heart defects (usually conotruncal), corpus callosus agenesis, neuronal migration disorders, facial dysmorphism and more rarely cleft palate, tracheo-esophageal abnormalities."
2218|Cervical hypertrichosis - peripheral neuropathy|http://who.int/icd#13157_378b7cb7_5b17_422d_b68b_e793f5e48664|Cervical hypertrichosis – peripheral sensory and motor neuropathy|Cervical hypertrichosis - peripheral neuropathy syndrome is characterised by the association of congenital hypertrichosis in the anterior cervical region with peripheral sensory and motor neuropathy. 
2222|Hypertrichosis lanuginosa congenita|http://who.int/icd#972_712a6f06_71f2_48d0_919c_2b3cb8b7172d|Hypertrichosis lanuginosa congenita|Hypertrichosis lanuginosa congenita is a rare congenital affection transmitted as an autosomal dominant trait marked by 3 to 5cm long lanugo-type hair covering the entire body except for palms and soles. 
2227|Hypodontia|http://who.int/icd#13178_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Hypodontia|"Hypodontia presents as a lack of one or a few  (less than 6) permanent teeth, without any systemic disorders. "
2228|Hypodontia - dysplasia of nails|http://who.int/icd#1008_712a6f06_71f2_48d0_919c_2b3cb8b7172d|Autosomal dominant hypodontia with nail dysplasia [Witkop]|"Hypodontia-nail dysplasia syndrome is a form of ectodermal dysplasia characterized by usually normal primary teeth with permanent teeth that often fail to erupt. The mandibular incisors, second molars, and maxillary canines are frequently absent and the crowns may be small and conical. Lip eversion may be present. Nails are usually small, thin and brittle with longitudinal ridges, pitting and koilonychias. Congenital absence of the nail plate has also been reported. Toenails are usually more severely affected than fingernails."
2237|Hypoparathyroidism - deafness - renal disease|http://who.int/icd#11044_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Hypoparathyroidism - deafness - renal disease|"Hypoparathyroidism - deafness - renal disease, or HDR syndrome is an inherited condition consisting of hypoparathyroidism, bilateral sensorineural deafness and renal disease (nephrotic syndrome, cystic kidney, renal dysplasia, hypoplasia or aplasia, pelvicalyceal deformity, vesicoureteral reflux, chronic renal failure, hematuria, proteinuria and renal scarring). "
2238|Familial isolated hypoparathyroidism|http://who.int/icd#10824_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Familial isolated hypoparathyroidism|"Familial isolated hypoparathyroidism is a rare heterogeneous group of metabolic disorders characterized by abnormal calcium metabolism due to deficient secretion of parathormone (PTH), without other endocrine disorders or developmental defects, with autosomal dominant or recessive inheritance. "
2239|Familial isolated hypoparathyroidism due to agenesis of parathyroid gland|http://who.int/icd#10835_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Familial isolated hypoparathyroidism due to agenesis of parathyroid gland|Familial isolated hypoparathyroidism due to agenesis of parathyroid gland is an X-linked recessive hypoparathyroidism leading to severe neonatal hypocalcemia with undetectable parathyroid hormone levels and epilepsy. 
2241|Megacystis - microcolon - intestinal hypoperistalsis - hydronephrosis|http://who.int/icd#12265_07368d94_d861_421b_b2a0_264c49b96108|Megacystis - microcolon - intestinal hypoperistalsis - hydronephrosis|"Megacystis - microcolon - intestinal hypoperistalsis - hydronephrosis is a rare syndrome characterized by megabladder, which may be associated with hydronephrosis and the appearance of a 'prune belly', microcolon and intestinal hypoperistalsis. "
2243|Hypopituitarism - micropenis - cleft lip/palate|http://who.int/icd#13079_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Hypopituitarism - micropenis - cleft lip/palate|Hypopituitarism - micropenis - cleft lip/palate syndrome is characterized by the non-fortuitous association of hypopituitarism and median cleft lip palate. 
2254|Pontocerebellar hypoplasia type 1|http://who.int/icd#5126_07368d94_d861_421b_b2a0_264c49b96108|Pontocerebellar hypoplasia type 1|"Pontocerebellar hypoplasia type I is a lethal congenital disorder of brain morphogenesis; clinical features include congenital contractures, respiratory insufficiency, central and peripheral motor dysfunction and spinal anterior horn degeneration. "
2260|Oligomeganephronia|http://who.int/icd#14619_07368d94_d861_421b_b2a0_264c49b96108|Oligomeganephronia|"Oligomeganephronic renal hypoplasia is a severe developmental defect of both kidneys characterized by  a reduced number of nephrons, hypertrophic glomeruli with diameters twice the normal size, hypertrophic tubules and thickening of Bowman's capsule, occurring in the absence of a urinary tract malformation. Patients may present at birth with renal failure, defects in urine concentration, urinary sodium loss or acidosis. During the first year of life, the usual symptom is persistent anorexia with vomiting, and height-weight growth delay. "
2268|ICF syndrome|http://who.int/icd#7997_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|ICF syndrome|"The Immunodeficiency, Centromeric region instability, Facial anomalies syndrome (ICF) is a rare autosomal recessive primary immune deficiency characterized by immunodeficiency, although B cells are present, and by characteristic rearrangements in the vicinity of the centromeres (the juxtacentromeric heterochromatin) of chromosomes 1 and 16 and sometimes 9. Other variable symptoms include mild facial dysmorphism, growth retardation, failure to thrive, and psychomotor retardation."
2272|Ichthyosis - oral and digital anomalies|http://who.int/icd#12330_dd0250d2_e8cd_4c48_a93f_7997cc1c8b07|Ichthyosis - oral and digital anomalies|"Ichthyosis - oral and digital anomalies syndrome is characterised by ichthyosis, unusual facies (small mouth with a thin upper lip and lower lip with a midline groove) and digital anomalies (tapered fingers with a lack of distal flexion creases and wide spacing between the second and third fingers). "
2273|Ichthyosis follicularis - alopecia - photophobia|http://who.int/icd#12242_378b7cb7_5b17_422d_b68b_e793f5e48664|Ichthyosis follicularis – atrichia – photophobia [IFAP syndrome]|"Ichthyosis follicularis - alopecia - photophobia (IFAP) is a rare genetic disorder characterized by the triad of ichthyosis follicularis, alopecia, and photophobia from birth."
2289|Neuronal intranuclear inclusion disease|http://who.int/icd#22590_588c79f3_df65_43e0_903d_add110bf20de|Neuronal intranuclear inclusion disease|"Neuronal intranuclear inclusion disease is a very rare multisystem neurodegenerative disorder characterized by the presence of eosinophilic intranuclear inclusions in neuronal and glial cells, and neuronal loss. Infantile, juvenile, and adult-onset cases have been described."
2290|Microvillous inclusion disease|http://who.int/icd#12122_07368d94_d861_421b_b2a0_264c49b96108|Microvillous inclusion disease|Microvillous inclusion disease (MVID) or microvillous atrophy is a congenital disorder of the intestinal epithelial cells that presents with persistent life-threatening watery diarrhea and is characterized by morphological enterocyte abnormalities. 
2292|Congenital bowing of long bones|http://who.int/icd#3102_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Congenital bowing of long bone|"Congenital bowing of long bones is a congenital condition described by the presence of symmetric or asymmetric angular deformity and shortening of the long bones, particularly the femurs, tibiae and ulnae. "
2295|Ehlers-Danlos syndrome type 11|http://who.int/icd#17754_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Familial joint laxity|"Ehlers-Danlos syndrome (EDS) type 11, is a type of EDS characterised by generalized joint hypermobility often complicated by dislocation of major joints, particularly the shoulder but in some cases the kneecap. Congenital hip dislocation has also been frequently reported. "
2297|Insulin-resistance syndrome type A|http://who.int/icd#7722_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Insulin-resistance syndrome type A|"Type A insulin-resistance syndrome belongs to the group of extreme insulin-resistance syndromes (which includes leprechaunism, the lipodystrophies, Rabson-Mendenhall syndrome and type B insulin resistance syndrome) and is characterized by the triad of hyperinsulinemia, acanthosis nigricans (skin lesions associated with insulin resistance), and signs of hyperandrogenism in females without lipodystrophy and who are not overweight."
2298|Insulin-resistance syndrome type B|http://who.int/icd#7733_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Insulin-resistance syndrome type B|"Insulin-resistance syndrome type B belongs to the group of extreme insulin-resistance syndromes and occurs in the context of immune dysfunction (a well-characterized autoimmune disease (systemic lupus erythematosus), or biological features suggesting an immune disease ). It is cahracterized by a rapidly progressive nonketotic and severely insulin-resistant diabetes, along with acanthosis nigricans and hirsutism. "
2300|Multiple intestinal atresia|http://who.int/icd#14124_07368d94_d861_421b_b2a0_264c49b96108|Familial multiple-level intestinal atresia|"Multiple intestinal atresia is a rare form of intestinal atresia characterized by the presence of numerous atresic segments in the small bowel, duodenum or large bowel and leading to symptoms of intestinal obstruction: vomiting, abdominal bloating and inability to pass meconium in newborns"
2301|Congenital short bowel|http://who.int/icd#12419_07368d94_d861_421b_b2a0_264c49b96108|Congenital short bowel|"Congenital short bowel syndrome is a rare intestinal disorder of neonates of unknown etiology. Patients are born with a short small bowel (less than 75 cm in length) that compromises proper intestinal absorption and leads chronic diarrhea, vomiting and failure to thrive."
2305|Isotretinoin syndrome|http://who.int/icd#12958_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Fetal isotretinoin syndrome|"Isotretinoin embryopathy is an association of malformations caused by the teratogenic effect of isotretinoin, a drug marketed for the treatment of cystic acne. The risk of malformations after exposure  to oral isotretinoin has been evaluated to be around 20%. The affected infants may present hydrocephalus, microcephaly, ear malformations, conotruncal heart defects and limb abnormalities. There is also increased risk of spontaneous abortion and premature delivery. Isotretinoin may also have effects on child behavior."
2308|Jacobsen syndrome|http://who.int/icd#3410_9a510cf7_0302_4255_bbb7_74543da4418f|Jacobsen syndrome (11q23.3 deletion sydnrome)|"Jacobsen syndrome is a multiple congenital anomaly/mental retardation (MCA/MR) contiguous gene syndrome caused by partial deletion of the long arm of chromosome 11. The most common clinical features include pre- and postnatal growth retardation, psychomotor retardation, and a characteristic facial dysmorphism (skull deformities, hypertelorism, ptosis, coloboma, downslanting palpebral fissures, epicanthal folds, a broad nasal bridge, short nose, V-shaped mouth, and small, low-set and posteriorly rotated ears). Abnormal platelet function, thrombocytopenia or pancytopenia are usually present at birth. Patients commonly have malformations of the heart, kidney, gastrointestinal tract, genitalia, central nervous system and skeleton. "
2309|Pachyonychia congenita|http://who.int/icd#12782_378b7cb7_5b17_422d_b68b_e793f5e48664|Pachyonychia congenita|"Pachyonychia congenita is a rare genodermatosis predominantly featuring painful palmoplantar keratoderma, thickened nails, cysts and whitish oral mucosa. "
2311|Autosomal recessive spondylocostal dysostosis|http://who.int/icd#10967_b047675b_e7d6_403d_8ca9_f59ab5570ff4|"Spondylocostal dysostosis, autosomal recessive"|"Autosomal recessive spondylocostal dysostosis  is a rare skeletal disorder of variable severity associated with vertebral and rib segmentation defects and characterised by a short neck with limited mobility, winged scapulae, a short trunk, and short stature with multiple vertebral anomalies at all levels of the spine. "
2314|Autosomal dominant hyper IgE syndrome|http://who.int/icd#2002_07368d94_d861_421b_b2a0_264c49b96108|Autosomal dominant hyperimmunoglobulin E syndrome|"Autosomal dominant hyper-IgE syndrome (AD-HIES) is a very rare primary immunodeficiency disorder characterized by the clinical triad of high serum IgE (>2000 IU/ml), recurring staphylococcal skin abscesses, and recurrent pneumonia with formation of pneumatoceles."
2315|Johanson-Blizzard syndrome|http://who.int/icd#1044_712a6f06_71f2_48d0_919c_2b3cb8b7172d|Johanson-Blizzard syndrome|"Johanson-Blizzard syndrome encompasses a spectrum of clinical features but the hallmarks of the syndrome are hypoplastic alae nasi, dental anomalies, short stature, microcephaly, mental retardation, hypothyroidism, and deafness."
2316|"Neuroectodermal syndrome, Johnson type"|http://who.int/icd#1056_712a6f06_71f2_48d0_919c_2b3cb8b7172d|Johnson neuroectodermal syndrome|"Johnson neuroectodermal syndrome is characterised by alopecia, anosmia or hyposmia, conductive deafness with malformed ears and microtia and/or atresia of the external auditory canal, and hypogonadotropic hypogonadism."
2318|Joubert syndrome with oculorenal defect|http://who.int/icd#5808_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Joubert syndrome with oculorenal defect|"Joubert syndrome with oculorenal defect is a rare subtype of Joubert syndrome related disorders (JSRD) characterized by the neurological features of JS associated with both renal (nephronophthisis, usually juvenile) and ocular disease (manifesting with either Leber congenital amaurosis, or progressive retinal dystrophy). "
2319|Juberg-Hayward syndrome|http://who.int/icd#7865_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Juberg-Hayward syndrome|"Juberg-Hayward syndrome is a malformation syndrome associating short stature, cleft lips and palate, microcephaly, hypoplasia and distal placement of the thumbs, which are stiff or absent, and elbow deformities limiting extension sometimes due to a luxation of the radial head. "
2322|Kabuki syndrome|http://who.int/icd#12364_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Kabuki syndrome|"Kabuki syndrome (KS) is a multiple congenital anomaly syndrome characterized by typical facial features, skeletal anomalies, mild to moderate intellectual disability and postnatal growth deficiency."
2323|Sanjad-Sakati syndrome|http://who.int/icd#10087_b047675b_e7d6_403d_8ca9_f59ab5570ff4|"Kenny-Caffey syndrome, autosomal recessive - Sanjad-Sakati syndrome"|"Sanjad-Sakati syndrome is characterized by congenital hypoparathyroidism, growth retardation, intellectual deficit, seizures, and dysmorphic features including microcephaly, facial, ocular and dental abnormalities, and short hands and feet. "
2330|Kasabach-Merritt syndrome|http://who.int/icd#10780_07368d94_d861_421b_b2a0_264c49b96108|Kasabach-Merritt syndrome|"Kasabach-Merritt syndrome is characterised by the association of a vascular tumour with severe thrombopaenia and various degrees of consumption coagulopathy (most commonly marked by decreased levels of fibrinogen, presence of elevated levels of soluble complexes, and very high levels of D-dimers). "
2332|KBG syndrome|http://who.int/icd#210_ce88e999_ba9e_41b4_8d8a_b63046b652da|KBG syndrome|"KBG syndrome is a rare malformation syndrome characterised by a typical facial dysmorphism, macrodontia of the upper central incisors, skeletal (mainly costovertebral) anomalies and developmental delay. "
2334|Hereditary keratitis|http://who.int/icd#3072_599a597b_6a33_44a6_bf97_915e75834e46|Hereditary keratitis|"Hereditary keratitis is an autosomal dominant corneal disease characterised by opacification and vascularisation of the cornea, often associated with macula hypoplasia. "
2335|Keratoconus|http://who.int/icd#H18.6|Isolated keratoconus|"Keratoconus is a noninflammatory, often bilateral, corneal dystrophy characterised by progressive cone-shaped bulging and thinning of the cornea. "
2343|Isolated cloverleaf skull syndrome|http://who.int/icd#649_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Cloverleaf skull syndrome|Cloverleaf skull is a rare malformation syndrome in which the head has a cloverleaf aspect. It is caused by the premature closure of several sutures and is apparent from birth. 
2345|Isolated Klippel-Feil syndrome|http://who.int/icd#Q76.1|Klippel-Feil anomaly|Klippel-Feil syndrome is characterised by improper segmentation of cervical segments resulting in congenitally fused cervical vertebrae. 
2346|Angio-osteohypertrophic syndrome|http://who.int/icd#10571_07368d94_d861_421b_b2a0_264c49b96108|Angio-osteohypertrophic syndrome|"Angio-osteohypertrophic (AOH) syndrome is a congenital vascular bone syndrome (CVBS) characterized by the presence of a vascular malformation in a limb, mainly of the arteriovenous type, which results in overgrowth of the affected limb. "
2348|"Familial partial lipodystrophy, Dunnigan type"|http://who.int/icd#7832_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|"Familial partial lipodystrophy, Dunnigan type"|"Familial partial lipodystrophy, Dunnigan type belongs to the group of partial lipodystrophies with insulin resistance. Clinically, it is mainly characterized by the loss of subcutaneous adipose tissue in the lower parts of the body (limbs, buttocks, trunk) accompanied by an accumulation of adipose tissue in the face and neck, resulting in pseudo-cushingoid facies."
2353|Schilbach-Rott syndrome|http://who.int/icd#7436_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Hypotelorism - cleft palate - hypospadias|"Schilbach-Rott syndrome, or hypotelorism - cleft palate - hypospadias syndrome is characterized by cleft palate and ocular hypotelorism."
2356|Arachnoid cyst|http://who.int/icd#5225_07368d94_d861_421b_b2a0_264c49b96108|Arachnoid cysts|"Arachnoid cysts are extraparenchymal, intra-arachnoidal collections of fluid, the composition of which is close to that of cerebrospinal fluid. They are often asymptomatic and more commonly located in the temporo-sylvian fossae. "
2363|Lacrimo-auriculo-dento-digital syndrome|http://who.int/icd#1068_712a6f06_71f2_48d0_919c_2b3cb8b7172d|Lacrimo-auriculo-dento-digital syndrome|"LADD is an acronym for Lacrymo-Auriculo-Dento-Digital syndrome, characterized by obstruction of the nasal lacrimal ducts that can lead to epiphora, and chronic conjunctivitis due to alacrymia. Aplasia or hypoplasia of the salivary glands may also be present, leading to dry mouth and early onset of severe dental caries. "
2368|Gastroschisis|http://who.int/icd#Q79.3|Gastroschisis|"Gastroschisis is a congenital abdominal walldefect  characterized by viscera protruding, without a covering sac, from the fetal abdomen on the right lateral base of the umbilicus."
2369|Limb body wall complex|http://who.int/icd#12793_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Lateral body wall complex|"Limb body wall complex (LBWC) is characterized by severe multiple congenital anomalies in the fetus with exencephaly/encephalocele, thoraco- and/or abdominoschisis (anterior body wall defects) and limb defects, with or without facial clefts. Approximately 250 cases have been reported in the literature so far. Clinical manifestations vary widely and include limb defects and visceral malformations (95% of cases), spinal abnormalities, absent diaphragm, bowel atresia and renal agenesis. LBWC generally presents as a short umbilical cord, abdominal placental attachment, persistence of an extraembryonic celom, anorectal malformations, urogenital abnormalities, lumbosacral meningomyelocele and kyphoscoliosis. A spectrum of LBWC manifestations is included in the amniotic band sequence (see this term), presenting mostly with craniofacial defects, facial clefts, amniotic bands and/or adhesions. At present, it remains unclear whether these two entities represent a single disorder. The etiology of LBWC remains unknown. Karyotypes have been reported as normal and no correlations with gender, parental age and teratogenic agents have been found. The principal theories are an extrinsic origin by early amniotic rupture, or a vascular origin due to an early vascular accident during embryological development. Single cases of familial occurrence have been documented. Diagnosis is based on the presenting features. Early antenatal diagnosis is feasible by ultrasound examination and may be followed by medical termination of the pregnancy. LBWC should be differentiated from gastroschisis (see this term), which has better prognosis. LBWC is fatal, with death occurring during antenatally or early in the neonatal period."
2371|Lethal Larsen-like syndrome|http://who.int/icd#10263_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Lethal Larsen-like syndrome|"Larsen-like syndrome, lethal type, is characterised by multiple joint dislocation and respiratory insufficiency due to tracheomalacia and/or lung hypoplasia. "
2374|Congenital laryngeal web|http://who.int/icd#Q31.0|Congenital laryngeal web|Congenital laryngeal web is a rare malformation consisting of a membrane-like structure that extends across the laryngeal lumen close to the level of the vocal cords. 
